name,surface,year,num_wins,num_losses,num_upsets,num_was_upset,sets_won,sets_lost,avg_sets_lost
garcia c.,Clay,2022,11,3,2,2,24,9,0.2727272727272727
garcia c.,Clay,2023,4,4,0,4,10,10,0.5
garcia c.,Grass,2021,1,2,0,0,2,5,1
garcia c.,Grass,2022,10,3,6,2,20,11,0.5
garcia c.,Grass,2023,4,1,0,1,8,2,0
garcia c.,Hard,2021,12,14,2,4,27,33,0.41666666666666663
garcia c.,Hard,2022,22,13,12,5,48,34,0.3636363636363636
garcia c.,Hard,2023,15,8,0,8,34,22,0.4
garcia perez g.,Grass,2021,2,1,1,0,5,4,1
gasanova a.,Hard,2021,8,5,6,0,17,15,0.625
gasanova a.,Hard,2022,3,3,2,1,7,7,0.33333333333333337
gasparyan m.,Hard,2021,5,3,4,0,11,7,0.2
gatto-monticone g.,Clay,2021,1,3,1,0,2,7,1
gatto-monticone g.,Hard,2021,1,3,0,0,4,6,0
gauff c.,Clay,2021,14,4,3,1,29,12,0.28571428571428575
gauff c.,Clay,2022,10,4,0,2,20,9,0.10000000000000002
gauff c.,Clay,2023,7,4,0,3,15,11,0.42857142857142855
gauff c.,Grass,2021,4,2,1,2,9,5,0.25
gauff c.,Grass,2022,5,2,1,1,11,5,0.2
gauff c.,Grass,2023,4,2,1,2,8,4,0
gauff c.,Hard,2021,13,10,3,6,30,28,0.6153846153846154
gauff c.,Hard,2022,23,15,1,8,49,34,0.17391304347826086
gauff c.,Hard,2023,15,5,0,3,32,11,0.06666666666666667
gavrilova d.,Hard,2021,2,2,2,0,4,4,0
giorgi c.,Clay,2021,3,4,1,2,8,10,0.6666666666666666
giorgi c.,Clay,2022,3,3,1,1,8,8,0.6666666666666666
giorgi c.,Clay,2023,3,1,1,1,6,3,0.33333333333333337
giorgi c.,Grass,2021,5,2,4,0,12,7,0.6
giorgi c.,Grass,2022,6,4,1,3,13,9,0.16666666666666666
giorgi c.,Grass,2023,3,3,1,2,8,6,0
giorgi c.,Hard,2021,13,8,6,5,26,19,0.23076923076923075
giorgi c.,Hard,2022,5,8,2,3,16,17,0.2
giorgi c.,Hard,2023,10,5,3,2,22,12,0.20000000000000004
golubic v.,Clay,2021,1,3,0,1,5,7,1
golubic v.,Clay,2022,4,6,0,3,11,14,0.5
golubic v.,Grass,2021,6,4,4,0,14,9,0.16666666666666666
golubic v.,Grass,2022,3,4,2,2,8,8,0
golubic v.,Grass,2023,2,1,2,1,4,2,0
golubic v.,Hard,2021,11,8,8,5,25,20,0.36363636363636365
golubic v.,Hard,2022,9,10,4,3,23,24,0.4444444444444444
golubic v.,Hard,2023,1,5,0,0,2,10,0
gorgodze e.,Clay,2021,2,4,1,0,5,9,0.5
gorgodze e.,Clay,2022,1,2,0,1,2,4,0
grabher j.,Clay,2022,3,2,2,0,6,4,0
grabher j.,Clay,2023,9,5,3,0,20,15,0.5555555555555556
grabher j.,Hard,2023,1,6,1,0,3,13,1
gracheva v.,Clay,2021,2,7,1,3,6,15,0.5
gracheva v.,Clay,2022,4,7,2,3,9,17,0.75
gracheva v.,Clay,2023,4,5,0,3,11,12,0.5
gracheva v.,Grass,2023,2,2,0,1,4,4,0
gracheva v.,Hard,2021,11,12,7,3,26,31,0.6363636363636364
gracheva v.,Hard,2022,4,11,1,5,10,22,0
gracheva v.,Hard,2023,14,6,9,0,29,16,0.28571428571428575
grammatikopoulou v.,Hard,2021,1,2,1,0,2,4,0
haddad maia b.,Clay,2022,2,3,0,1,5,8,1
haddad maia b.,Clay,2023,8,4,1,2,17,12,0.5
haddad maia b.,Grass,2022,10,2,5,2,21,10,0.6
haddad maia b.,Grass,2023,1,1,0,1,2,3,1
